#ID	ra	dec	r_clust	sky_i
1237665440441761843	194.09080	28.48694	55.777	99.839
1237665440441892904	194.35439	28.49589	45.267	99.818
1237667253482487930	194.29749	29.04508	73.615	99.818
1237665440441892891	194.38314	28.47694	43.389	99.839
1237665440978370643	193.45498	28.94271	98.868	99.818
1237665440978370649	193.46457	28.97939	99.773	99.818
1237665440978698320	194.21089	28.92983	70.128	99.818
1237667252945616923	194.23574	28.62338	55.094	99.818
1237667253482487860	194.25675	29.06262	75.579	99.818
1237667444585136289	194.01497	28.43477	57.571	99.839
1237665440441892890	194.39119	28.48226	43.313	99.839
1237665441515503721	194.08444	29.30014	92.435	99.818
1237665441515503806	194.21331	29.37819	93.431	99.818
1237667253482225675	193.52652	29.24268	107.703	99.818
1237667253482422453	194.11968	29.13705	83.127	99.818
1237667444585070621	193.84405	28.46789	66.479	99.839
1237667444585267360	194.36453	28.43970	42.581	99.818
1237667442974523562	193.83664	27.14967	77.597	99.884
1237667442437652611	193.83515	26.79991	92.432	99.884
1237667322186694726	193.71964	26.57590	106.755	99.884
1237667323260305522	193.44431	27.38577	88.091	99.884
1237667442974326814	193.31712	27.09443	102.206	99.884
1237667442974457860	193.59285	27.08417	90.290	99.884
1237667322723434682	193.47586	26.96637	99.534	99.884
1237667322723434712	193.52492	27.01893	95.539	99.884
1237667323260305465	193.56678	27.30375	84.393	99.884
1237667323260436605	193.86235	27.42250	67.162	99.884
1237667323260567649	194.11907	27.29127	60.638	99.884
1237667323260633183	194.30862	27.25375	55.311	99.884
1237667443511590952	194.35149	27.49782	43.150	99.884
1237667322723369088	193.34631	27.03347	102.844	99.884
1237667322723500153	193.65342	26.93487	93.428	99.884
1237667322723631315	194.00827	26.92081	80.932	99.884
1237667322723696662	194.11606	26.98742	74.229	99.884
1237667322723827726	194.42931	26.85238	72.794	99.906
1237667442437587048	193.59536	26.79943	101.244	99.884
1237667442437587079	193.64761	26.75141	101.322	99.884
1237667442437718037	194.00730	26.75663	88.849	99.884
1237667442437849209	194.36158	26.69391	82.965	99.884
1237667442974392369	193.52299	27.06862	93.862	99.884
1237667442974654524	194.18132	27.17880	63.129	99.884
1237667442974654664	194.20689	27.09391	66.205	99.884
1237667443511328828	193.68114	27.45543	74.871	99.884
1237667443511328857	193.75347	27.48338	70.672	99.884
1237667443511525432	194.28923	27.46640	46.894	99.884
1237667443511591044	194.35520	27.40457	46.873	99.884
1237667322723631193	193.90393	26.91164	84.955	99.884
1237667322723696663	194.12138	26.95700	75.519	99.884
1237667322723696789	194.21321	26.89888	75.653	99.884
1237667322723762338	194.32909	26.93762	70.521	99.884
1237667323260305533	193.43951	27.24964	91.907	99.884
1237667323260371097	193.60309	27.36396	81.000	99.884
1237667323260371127	193.68739	27.41106	75.718	99.884
1237667323260502019	193.92207	27.25077	70.244	99.884
1237667323260567643	194.09897	27.23398	63.768	99.884
1237667323260633139	194.25709	27.37208	51.949	99.884
1237667323260633230	194.39454	27.31032	49.808	99.884
1237667442437718105	193.90597	26.64213	97.592	99.884
1237667442437783614	194.08538	26.70403	89.197	99.884
1237667442974457979	193.67339	27.04146	88.457	99.884
1237667442974589034	194.01655	27.15043	70.416	99.884
1237667442974654493	194.13350	27.05558	70.435	99.884
1237667442974720035	194.33953	27.02299	65.787	99.884
1237667442974720099	194.29982	27.10334	62.841	99.884
1237667442974720162	194.40226	27.03137	63.714	99.884
1237667443511197866	193.44516	27.48755	85.775	99.884
1237667443511394444	193.87755	27.54427	63.151	99.884
1237667443511459955	194.06092	27.50630	55.489	99.884
1237667443511525379	194.14244	27.53895	50.757	99.884
1237667443511525482	194.17661	27.54826	48.910	99.884
1237667443511525502	194.19905	27.42099	52.332	99.884
1237667443511525535	194.23305	27.46239	49.368	99.884
1237667443511525555	194.26808	27.52594	45.586	99.884
1237667443511590950	194.39939	27.49323	41.448	99.884
1237667443511590951	194.40055	27.48481	41.754	99.884
1237667443511591025	194.35767	27.54613	41.049	99.884
1237667443511591123	194.29481	27.40490	49.135	99.884
1237667322723696863	194.15006	26.90477	77.195	99.884
1237667323260370980	193.72987	27.41270	73.654	99.884
1237667323260567605	194.19755	27.29227	57.565	99.884
1237667323260567703	194.14433	27.22756	62.322	99.884
1237667442437652578	193.77129	26.72416	98.110	99.884
1237667442437783651	194.18000	26.74197	84.660	99.884
1237667442974654645	194.18132	27.03476	69.862	99.884
1237667443511394328	193.87124	27.52144	64.025	99.884
1237667443511459972	194.06954	27.44598	57.010	99.884
1237667443511591026	194.34820	27.54994	41.306	99.884
1237667443511591179	194.37746	27.54303	40.345	99.839
1237667324334571645	194.93218	27.99468	2.411	99.774
1237667444048658525	194.94491	27.97384	1.183	99.774
1237667324334571539	194.86968	28.04051	6.713	99.774
1237667444048658523	194.88663	27.98360	4.321	99.774
1237667444048658530	194.91779	27.96823	2.568	99.774
1237667444048658535	194.90965	27.98719	3.211	99.774
1237667324334571535	194.88100	28.04660	6.527	99.774
1237667324334571629	194.86080	27.99847	5.878	99.774
1237667444048658521	194.89216	27.94684	4.128	99.774
1237667444048658522	194.87484	27.95643	4.894	99.774
1237667444048658526	194.85619	27.97320	5.840	99.774
1237667444048658528	194.91523	27.95390	2.834	99.774
1237667444048658531	194.93418	27.95841	1.795	99.774
1237667444048658532	194.89877	27.95926	3.615	99.774
1237667324334506149	194.80799	28.07624	10.602	99.774
1237667324334571543	194.83415	28.07428	9.464	99.774
1237667324334571631	194.85436	27.99673	6.173	99.774
1237667324334571728	194.98338	28.03471	4.101	99.774
1237667324334637085	195.01850	27.98758	3.006	99.774
1237667444048593359	194.83921	27.97356	6.740	99.774
1237667444048593360	194.83215	27.97350	7.114	99.774
1237667444048658529	194.85553	27.96793	5.867	99.774
1237667444048658616	194.87843	27.88421	6.854	99.774
1237667444048658653	194.92627	27.92473	3.354	99.774
1237667444048658654	194.93502	27.91245	3.724	99.774
1237667444048658858	194.98605	27.93002	2.512	99.774
1237667444048658878	194.99779	27.94057	2.348	99.774
1237667444048658882	195.00404	27.94543	2.420	99.774
1237667444048723996	195.01561	27.96471	2.624	99.774
1237665440442155197	195.00764	28.43482	28.091	99.774
1237665440442220653	195.18279	28.41633	29.233	99.774
1237665440442286144	195.36121	28.43589	34.987	99.774
1237667323797504263	194.44943	27.76944	29.891	99.774
1237667323797635256	194.78121	27.76776	15.516	99.774
1237667324334374924	194.37497	28.18807	33.971	99.839
1237667324334374983	194.45932	28.17036	29.456	99.774
1237667324334440570	194.55751	28.18255	25.176	99.774
1237667324334506010	194.75863	28.11566	14.118	99.774
1237667324334506238	194.67344	28.18549	20.260	99.774
1237667324334506325	194.78943	28.04093	10.337	99.774
1237667324334506328	194.79810	28.00927	9.246	99.774
1237667324334571534	194.83283	28.08430	9.929	99.774
1237667324334571792	194.90619	28.16613	12.303	99.774
1237667324334571838	194.96566	28.09853	7.828	99.774
1237667324334571840	194.96442	28.07348	6.326	99.774
1237667324334571861	194.99005	28.06510	5.957	99.774
1237667324334637086	195.02661	28.00412	3.861	99.774
1237667324334637091	195.02246	28.02444	4.507	99.774
1237667443511656452	194.47651	27.49063	38.692	99.906
1237667443511656611	194.54041	27.54942	33.795	99.906
1237667443511722195	194.66004	27.54410	30.189	99.906
1237667444048527399	194.59096	27.96778	19.888	99.774
1237667444048592938	194.73022	27.96470	12.510	99.774
1237667444048593040	194.81353	27.97073	8.094	99.774
1237667444048593146	194.83406	27.88599	8.565	99.774
1237667444048658536	194.85557	27.93449	6.202	99.774
1237667444048658635	194.90795	27.90732	4.778	99.774
1237667444048658808	194.93623	27.88976	4.960	99.774
1237667444048723983	195.03386	27.97694	3.622	99.774
1237667444048724004	195.03114	27.95807	3.491	99.774
1237667444585463989	194.85894	28.28754	19.992	99.774
1237665440442024035	194.73376	28.46363	32.175	99.774
1237667323797504193	194.36726	27.70077	35.598	99.839
1237667323797569617	194.46067	27.64373	33.146	99.774
1237667323797569619	194.47138	27.70731	30.564	99.774
1237667323797569678	194.51466	27.68245	29.459	99.774
1237667323797635081	194.63167	27.67349	25.052	99.774
1237667323797635092	194.64661	27.59641	28.020	99.774
1237667323797635139	194.69750	27.67472	22.653	99.774
1237667323797635203	194.71706	27.78505	17.182	99.774
1237667323797635307	194.77206	27.64440	21.984	99.774
1237667323797700661	194.82726	27.59359	23.648	99.774
1237667323797700711	194.91587	27.57647	23.647	99.774
1237667323797700726	194.94645	27.71030	15.501	99.774
1237667323797700769	194.82647	27.71573	16.858	99.774
1237667323797700828	194.92215	27.65983	18.641	99.774
1237667323797766302	195.04338	27.59500	22.755	99.774
1237667323797897366	195.44683	27.62179	32.898	99.774
1237667324334374925	194.36846	28.17643	34.028	99.839
1237667324334375073	194.40497	28.04038	30.049	99.839
1237667324334440540	194.49050	28.06178	25.820	99.774
1237667324334440636	194.59044	28.14875	22.660	99.774
1237667324334440764	194.58220	28.09484	21.716	99.774
1237667324334506008	194.76625	28.12370	14.120	99.774
1237667324334506316	194.76989	28.05039	11.515	99.774
1237667324334637131	195.03329	28.07857	7.522	99.774
1237667324334637152	195.06143	28.04130	6.688	99.774
1237667324334637274	195.01769	28.15511	11.549	99.774
1237667324334637325	195.04641	28.06525	7.213	99.774
1237667324334637356	195.07727	28.09715	9.725	99.774
1237667324334637362	195.07867	28.00931	6.450	99.774
1237667324334702646	195.20333	28.15834	16.968	99.774
1237667324334702708	195.21315	28.04714	13.913	99.774
1237667443511656599	194.52844	27.57688	33.032	99.774
1237667443511656621	194.54861	27.54248	33.819	99.906
1237667443511787630	194.85245	27.51734	27.710	99.906
1237667443511853185	195.10492	27.55226	26.011	99.906
1237667444048527371	194.51462	27.81495	25.651	99.774
1237667444048527503	194.50713	27.85356	25.293	99.774
1237667444048527520	194.54763	27.93995	22.251	99.774
1237667444048527567	194.57587	27.84849	21.906	99.774
1237667444048527610	194.64071	27.83677	18.974	99.774
1237667444048527619	194.65313	27.84948	18.062	99.774
1237667444048592990	194.77509	27.99670	10.273	99.774
1237667444048593084	194.78310	27.85496	11.847	99.774
1237667444048593271	194.75029	27.96747	11.444	99.774
1237667444048593307	194.76932	27.91098	10.986	99.774
1237667444048593330	194.79017	27.86739	11.119	99.774
1237667444048658449	194.84426	27.89687	7.750	99.774
1237667444048658683	194.94217	27.85723	6.771	99.774
1237667444048658763	194.88288	27.86130	7.782	99.774
1237667444048658774	194.89702	27.86363	7.261	99.774
1237667444048658793	194.91449	27.85460	7.340	99.774
1237667444048658805	194.93422	27.86768	6.258	99.774
1237667444048723984	195.06883	27.96751	5.436	99.774
1237667444048723985	195.07540	27.95657	5.825	99.774
1237667444048789811	195.19752	27.92216	12.564	99.774
1237667444048789817	195.18910	27.83549	14.244	99.774
1237667444048789843	195.22821	27.84201	15.816	99.774
1237667444585267360	194.36453	28.43970	42.581	99.818
1237667444585332963	194.52430	28.37096	33.628	99.774
1237667444585398365	194.59876	28.32881	29.094	99.774
1237667444585463852	194.75754	28.22536	18.983	99.774
1237667444585463914	194.72064	28.23383	20.573	99.774
1237665440441892890	194.39119	28.48226	43.313	99.839
1237665440441892891	194.38314	28.47694	43.389	99.839
1237665440441892998	194.47474	28.49981	41.146	99.835
1237665440442089547	194.83755	28.44148	29.209	99.774
1237667323797504055	194.38682	27.61035	37.505	99.839
1237667323797504196	194.36463	27.63626	37.628	99.839
1237667323797504242	194.44232	27.75703	30.540	99.774
1237667323797569737	194.57992	27.76207	23.931	99.774
1237667323797635239	194.74210	27.59470	25.365	99.774
1237667323797635257	194.78417	27.78412	14.665	99.774
1237667323797635258	194.77853	27.77245	15.391	99.774
1237667323797700611	194.80624	27.77459	14.380	99.774
1237667323797700647	194.79293	27.61986	22.828	99.774
1237667323797766175	195.02605	27.68529	17.260	99.774
1237667323797766231	194.98380	27.74631	13.337	99.774
1237667323797766325	195.09324	27.62355	21.741	99.774
1237667323797766335	195.11521	27.62521	22.038	99.774
1237667323797831683	195.14029	27.63775	21.865	99.774
1237667323797831757	195.14865	27.57422	25.537	99.774
1237667323797831772	195.21290	27.74299	18.803	99.774
1237667323797897314	195.31334	27.66922	25.705	99.774
1237667323797897347	195.40216	27.70793	27.901	99.774
1237667324334374981	194.45279	28.18044	30.021	99.774
1237667324334375054	194.40185	28.07704	30.601	99.774
1237667324334375082	194.44461	28.14078	29.501	99.774
1237667324334375129	194.40113	28.23340	33.883	99.839
1237667324334440484	194.62585	28.01475	18.251	99.774
1237667324334440523	194.65145	28.11373	18.823	99.774
1237667324334440628	194.57252	28.04008	21.301	99.774
1237667324334440637	194.59232	28.15213	22.671	99.774
1237667324334440670	194.60637	28.12892	21.362	99.774
1237667324334440699	194.63295	28.04961	18.321	99.774
1237667324334506271	194.71152	28.08401	15.180	99.774
1237667324334506284	194.72266	28.12607	16.008	99.774
1237667324334506354	194.83418	28.19792	15.463	99.774
1237667324334571778	194.85757	28.18698	14.340	99.774
1237667324334571822	194.93394	28.17631	12.612	99.774
1237667324334571835	194.95952	28.14437	10.585	99.774
1237667324334571849	194.97955	28.12836	9.644	99.774
1237667324334637140	195.05360	28.07550	7.935	99.774
1237667324334637189	195.09223	28.04701	8.184	99.774
1237667324334637213	195.12898	28.10839	12.049	99.774
1237667324334637227	195.14822	28.14612	14.387	99.774
1237667324334637239	195.15775	28.05797	11.489	99.774
1237667324334637285	195.03798	28.17039	12.720	99.774
1237667324334637287	195.03636	28.15985	12.092	99.774
1237667324334637347	195.07094	28.06391	7.989	99.774
1237667324334702622	195.17813	27.97126	11.230	99.774
1237667324334702869	195.17020	27.99660	10.941	99.774
1237667324334702891	195.18598	28.10064	14.096	99.774
1237667324334702972	195.30693	28.08312	19.320	99.774
1237667324334702990	195.32941	28.12814	21.496	99.774
1237667324334768181	195.44590	28.09500	26.520	99.884
1237667324334768368	195.39684	28.14695	25.199	99.774
1237667324334768379	195.40552	28.01577	23.448	99.774
1237667443511590950	194.39939	27.49323	41.448	99.884
1237667443511590951	194.40055	27.48481	41.754	99.884
1237667443511591179	194.37746	27.54303	40.345	99.839
1237667443511591211	194.43013	27.57759	36.863	99.774
1237667443511656538	194.48429	27.58135	34.540	99.774
1237667443511656567	194.50649	27.48967	37.684	99.774
1237667443511656680	194.61837	27.55938	30.699	99.774
1237667443511787618	194.82687	27.51351	28.259	99.906
1237667443511853161	195.07959	27.55372	25.578	99.906
1237667443511853192	195.11190	27.51559	28.228	99.906
1237667443511853233	195.13978	27.50412	29.322	99.774
1237667444048461861	194.45028	27.88306	27.825	99.774
1237667444048461862	194.46098	27.87948	27.309	99.774
1237667444048461897	194.44710	27.83331	28.691	99.774
1237667444048461985	194.48665	27.99175	25.452	99.774
1237667444048527492	194.51194	27.97835	24.082	99.774
1237667444048527574	194.59164	27.89228	20.372	99.774
1237667444048527614	194.66227	27.95387	16.132	99.774
1237667444048527629	194.65900	27.82258	18.484	99.774
1237667444048592910	194.70303	27.81043	16.861	99.774
1237667444048592912	194.72106	27.81343	15.973	99.774
1237667444048592965	194.72765	27.79562	16.345	99.774
1237667444048593192	194.66972	27.82692	17.860	99.774
1237667444048593228	194.71149	27.99555	13.599	99.774
1237667444048593262	194.73587	27.82198	15.035	99.774
1237667444048593276	194.74781	27.93452	11.751	99.774
1237667444048593305	194.76731	27.95914	10.557	99.774
1237667444048593321	194.78781	27.89755	10.362	99.774
1237667444048658609	194.87253	27.85016	8.645	99.774
1237667444048658766	194.87770	27.79142	11.592	99.774
1237667444048658843	194.96250	27.83295	8.109	99.774
1237667444048658870	194.97860	27.79600	10.344	99.774
1237667444048724108	195.03809	27.86648	7.187	99.774
1237667444048724118	195.11653	27.95597	7.997	99.774
1237667444048724135	195.16567	27.92393	10.896	99.774
1237667444048724176	195.17848	27.96308	11.251	99.774
1237667444048724248	195.03358	27.77332	12.218	99.774
1237667444048724279	195.05261	27.78182	12.076	99.774
1237667444048724298	195.08404	27.84349	9.740	99.774
1237667444048724303	195.09029	27.89854	7.787	99.774
1237667444048724328	195.11829	27.97239	8.061	99.774
1237667444048724347	195.12469	27.77025	14.542	99.774
1237667444048724352	195.14759	27.94274	9.730	99.774
1237667444048724355	195.13902	27.82424	12.585	99.774
1237667444048724362	195.13548	27.76614	15.078	99.774
1237667444048724379	195.07314	27.78442	12.391	99.774
1237667444048789589	195.22550	27.78370	17.647	99.774
1237667444048789675	195.23305	27.89850	14.746	99.774
1237667444048789721	195.29460	27.80289	20.036	99.774
1237667444048789764	195.32332	27.80907	21.203	99.774
1237667444048789861	195.30679	27.91425	18.337	99.774
1237667444048789881	195.33049	27.86046	20.362	99.774
1237667444048855053	195.35885	27.88597	21.388	99.774
1237667444048855141	195.38252	27.84750	23.226	99.774
1237667444048855252	195.45926	27.89354	26.514	99.884
1237667444048855313	195.36860	27.92654	21.471	99.774
1237667444048855334	195.39103	27.91110	22.774	99.774
1237667444585398354	194.62296	28.30112	27.005	99.774
1237667444585398361	194.68294	28.28267	24.106	99.774
1237667444585398452	194.63453	28.37797	30.212	99.774
1237667444585398462	194.62899	28.23362	23.927	99.774
1237667444585463957	194.81243	28.25102	18.828	99.774
1237667444585464245	194.72321	28.28899	23.156	99.774
1237667444585529470	194.99061	28.24666	16.766	99.774
1237667444585529472	195.01251	28.24031	16.518	99.774
1237667444585529703	195.02565	28.25218	17.335	99.774
1237667444585594903	195.07470	28.20240	15.187	99.774
1237667444585595001	195.12820	28.34636	24.261	99.774
1237667444585595093	195.21701	28.36613	27.320	99.774
1237667444585595157	195.09245	28.24709	18.025	99.774
1237667444585660575	195.34491	28.19604	24.267	99.774
1237667323797635368	194.68976	27.75388	19.500	99.774
1237667323797635381	194.74010	27.78543	16.246	99.774
1237667323797700671	194.85388	27.73883	14.990	99.774
1237667323797700807	194.90762	27.77682	11.888	99.774
1237667323797766246	195.00621	27.73126	14.365	99.774
1237667323797831800	195.24324	27.65209	23.989	99.774
1237667323797897301	195.30120	27.60448	28.143	99.774
1237667323797897369	195.45156	27.60396	33.777	99.774
1237667323797962757	195.47388	27.62445	33.926	99.884
1237667324334506263	194.70064	28.01873	14.397	99.774
1237667324334702605	195.16150	28.01453	10.714	99.774
1237667324334702681	195.20269	28.09074	14.526	99.774
